snapped_at,price,market_cap,total_volume
2015-07-28 00:00:00 UTC,0.004312881711,7423.97893322985,5.779402820137537
2015-07-29 00:00:00 UTC,0.003978441201,6848.28976134135,11.248087444998195
2015-07-30 00:00:00 UTC,0.004184945994,7203.7567867719,2.7709769268403743
2015-07-31 00:00:00 UTC,0.003891999048,6699.4925612748,1.8362124269962443
2015-08-01 00:00:00 UTC,0.003851223208,6629.3030690908,1.4593891495473919
2015-08-02 00:00:00 UTC,0.0045076272,7759.20408072,21.52019667134748
2015-08-03 00:00:00 UTC,0.00426978207,7349.7893661945,5.56705670967081
2015-08-04 00:00:00 UTC,0.003987877379,6864.53272634165,17.5624425629527
2015-08-05 00:00:00 UTC,0.003942150612,6785.8209559662,5.867689205736136
2015-08-06 00:00:00 UTC,0.003843496784,6616.0031891384,10.719054130704901
2015-08-07 00:00:00 UTC,0.003760357188,6472.8908455638,3.3371029275161157
2015-08-08 00:00:00 UTC,0.003508359211,6039.11412785485,3.0191119747432795
2015-08-09 00:00:00 UTC,0.0035379284,6090.01305134,4.648188167744588
2015-08-10 00:00:00 UTC,0.003537219444,6088.7926899294,6.803020545507438
2015-08-11 00:00:00 UTC,0.004018316652,6916.9293689202,8.937206510263298
2015-08-12 00:00:00 UTC,0.003675693998,6327.1558634573,1.0503882990623796
2015-08-13 00:00:00 UTC,0.00353846482,6090.936417907,3.1465114822554505
2015-08-14 00:00:00 UTC,0.003727701086,6416.6782643861,2.763146059509615
2015-08-15 00:00:00 UTC,0.003660378036,6300.7917322686,4.977300564992056
2015-08-16 00:00:00 UTC,0.003642937254,6270.7700421729,15.91861264986867
2015-08-17 00:00:00 UTC,0.00390736368,6725.940470568,3.5470491964251316
2015-08-18 00:00:00 UTC,0.00384676432,6621.627762232,3.575963624699063
2015-08-19 00:00:00 UTC,0.003206375238,5519.2940159313,1.138843419666276
2015-08-20 00:00:00 UTC,0.003301355253,5682.78786475155,9.331494292126859
2015-08-21 00:00:00 UTC,0.003266593544,5622.9507969644,4.60520991961265
2015-08-22 00:00:00 UTC,0.003093028382,5324.1844053557,1.8891209796146597
2015-08-23 00:00:00 UTC,0.003051905722,5253.3979145647,1.1992709800806662
